review_id,order_id,order_item_id,product_id,customer_id,review_timestamp,language_code,rating,review_title,review_body_clean,review_body_latin_analysis,verified_purchase,helpful_votes,review_length_chars,review_word_count,contains_non_latin_script,extracted_order_reference,extracted_product_sku,delivery_experience,value_experience,writing_style
HREV000001,HORD000001,HITM0000001,PRD0837,CUS00191,2018-12-16 11:01:00,ru,4,удобный спутник для игр в дороге,"я взял candle flux 936 именно для поездок и за первые недели успел проверить его в разных условиях: дома на диване, в дороге и в комнате с не самым удобным освещением. устройство не пришлось долго осваивать, основные элементы управления быстро стали привычными, а переносить его вместе с остальными вещами оказалось несложно. в дороге особенно выручает то, что можно ненадолго отвлечься на игру и продолжить позже без долгой подготовки. в играх для коротких сессий candle flux 936 ведёт себя уверенно. управление отзывчивое, изображение остаётся разборчивым, а корпус не создаёт ощущения хрупкости, когда держишь его на коленях или в руках. за это время я несколько раз играл подряд дольше, чем планировал, и заметил только умеренный нагрев. звук достаточно различим в тихом помещении, хотя в шумном месте я предпочитаю пользоваться наушниками. понравилось и общее ощущение от ежедневного использования. ничего не скрипит, кнопки нажимаются с понятным сопротивлением, а после завершения игры устройство быстро убирается в сумку. это не замена большой домашней системе для требовательных игр, но такой цели я и не ставил. candle flux 936 оказался практичным вариантом для отдыха в дороге и в небольших свободных промежутках. минусом для меня стала небольшая площадь экрана при работе с мелкими деталями, однако в целом покупкой я доволен и могу её рекомендовать тем, кому нужна именно портативность.","candle flux 936 : , . , , . , . candle flux 936 . , , , . , , . , . . , , . , . candle flux 936 . , , .",True,4,1398,210,True,HORD000001,SKU-CAN00837,on_time,good_value,narrative
HREV000002,HORD000002,HITM0000004,PRD0726,CUS00096,2018-05-23 12:02:00,en,5,helpful room readings over time,"vela nova 825 has given me a clearer sense of how conditions change around the house. i placed it in a commonly used room and began checking the temperature and humidity readings at different times of day. the information is presented plainly, making it easy to notice when the room becomes warmer or more humid after cooking, showers, or a closed window. it has encouraged me to ventilate more deliberately instead of relying on guesswork. the readings are best understood as an indication rather than a laboratory reference, and the small unit needs a sensible location away from direct heat. within those boundaries, vela nova 825 has been dependable and genuinely useful. it adds practical awareness without demanding constant attention.","vela nova 825 has given me a clearer sense of how conditions change around the house. i placed it in a commonly used room and began checking the temperature and humidity readings at different times of day. the information is presented plainly, making it easy to notice when the room becomes warmer or more humid after cooking, showers, or a closed window. it has encouraged me to ventilate more deliberately instead of relying on guesswork. the readings are best understood as an indication rather than a laboratory reference, and the small unit needs a sensible location away from direct heat. within those boundaries, vela nova 825 has been dependable and genuinely useful. it adds practical awareness without demanding constant attention.",True,15,741,120,False,HORD000002,SKU-VEL00726,on_time,good_value,detailed
HREV000003,HORD000002,HITM0000006,PRD0556,CUS00096,2018-06-07 13:03:00,pt,5,iluminação controlada pelo telefone,"o vela echo 655 tornou mais fácil ajustar a iluminação dos cômodos sem levantar para procurar o interruptor. a instalação foi tranquila e o controle pelo aplicativo respondeu bem durante os primeiros testes. consigo acender ou apagar as luzes quando estou em outro ponto da casa, além de alterar a configuração conforme a atividade do momento. a resposta normalmente é rápida e previsível. nas semanas seguintes, passei a usar o controle principalmente à noite e quando recebo visitas. o histórico de ações ajuda a entender se um comando foi realizado, embora a aplicação pudesse apresentar as opções de maneira mais direta. houve uma ocasião em que precisei repetir o toque para obter resposta, mas o comportamento não voltou a ocorrer com frequência. o vela echo 655 trouxe praticidade real à iluminação da casa e tem funcionado de modo satisfatório.","o vela echo 655 tornou mais fácil ajustar a iluminação dos cômodos sem levantar para procurar o interruptor. a instalação foi tranquila e o controle pelo aplicativo respondeu bem durante os primeiros testes. consigo acender ou apagar as luzes quando estou em outro ponto da casa, além de alterar a configuração conforme a atividade do momento. a resposta normalmente é rápida e previsível. nas semanas seguintes, passei a usar o controle principalmente à noite e quando recebo visitas. o histórico de ações ajuda a entender se um comando foi realizado, embora a aplicação pudesse apresentar as opções de maneira mais direta. houve uma ocasião em que precisei repetir o toque para obter resposta, mas o comportamento não voltou a ocorrer com frequência. o vela echo 655 trouxe praticidade real à iluminação da casa e tem funcionado de modo satisfatório.",True,54,852,139,False,HORD000002,SKU-VEL00556,on_time,good_value,detailed
HREV000004,HORD000002,HITM0000007,PRD0421,CUS00096,2018-04-26 14:04:00,en,4,a stronger fit for creative home projects,"candle shift 520 has handled my creative projects and media editing with fewer interruptions than the laptop i used before. i work with images, short video pieces, and layered documents, and the machine remains responsive during the ordinary stages of those tasks. compared with my previous computer, switching between editing software, reference material, and file folders feels less sluggish, which has made it easier to maintain concentration. the display gives my projects room to breathe, and the keyboard is comfortable when i am writing notes alongside the editing work. candle shift 520 has also proved practical for moving between a desk and another room because it is not excessively cumbersome. files open promptly, exports complete without constant supervision, and the cooling noise stays unobtrusive during moderate sessions. i appreciate having a computer that supports both creative work and ordinary browsing without requiring separate devices. more demanding projects still take time to process, and the screen is not a substitute for professional colour equipment. i also spent a while organising storage because creative files accumulate quickly. those limitations are reasonable for a general-purpose ultrabook. candle shift 520 is nevertheless a clear improvement over my earlier laptop for the work i actually do. it feels capable, comfortable, and dependable enough to keep my projects moving.","candle shift 520 has handled my creative projects and media editing with fewer interruptions than the laptop i used before. i work with images, short video pieces, and layered documents, and the machine remains responsive during the ordinary stages of those tasks. compared with my previous computer, switching between editing software, reference material, and file folders feels less sluggish, which has made it easier to maintain concentration. the display gives my projects room to breathe, and the keyboard is comfortable when i am writing notes alongside the editing work. candle shift 520 has also proved practical for moving between a desk and another room because it is not excessively cumbersome. files open promptly, exports complete without constant supervision, and the cooling noise stays unobtrusive during moderate sessions. i appreciate having a computer that supports both creative work and ordinary browsing without requiring separate devices. more demanding projects still take time to process, and the screen is not a substitute for professional colour equipment. i also spent a while organising storage because creative files accumulate quickly. those limitations are reasonable for a general-purpose ultrabook. candle shift 520 is nevertheless a clear improvement over my earlier laptop for the work i actually do. it feels capable, comfortable, and dependable enough to keep my projects moving.",True,38,1417,213,False,HORD000002,SKU-CAN00421,on_time,good_value,comparison
HREV000005,HORD000004,HITM0000012,PRD0605,CUS00365,2018-02-15 15:05:00,en,4,comfortable listening on the commute,"candle vista 704 has made my commute more enjoyable, especially when i am listening to spoken content rather than music. pairing with my phone was quick, and the wireless connection has remained steady while walking through stations and busy streets. voices sound distinct, so podcasts and recorded talks do not require constant volume changes. the controls are easy to reach without taking the phone out of my pocket, and pausing before a conversation has become second nature. the fit stays secure during ordinary walking, although i would not use it for vigorous exercise without checking the adjustment first. outside noise can still intrude in louder places, and i sometimes lower the volume rather than trying to overcome it. battery life has been sufficient for my regular journeys. at home i also use candle vista 704 for radio and quiet background listening. it is not an elaborate audio system, but it performs its intended role with very little fuss. the clear speech, stable connection and manageable size have made it a dependable companion for travel and everyday listening.","candle vista 704 has made my commute more enjoyable, especially when i am listening to spoken content rather than music. pairing with my phone was quick, and the wireless connection has remained steady while walking through stations and busy streets. voices sound distinct, so podcasts and recorded talks do not require constant volume changes. the controls are easy to reach without taking the phone out of my pocket, and pausing before a conversation has become second nature. the fit stays secure during ordinary walking, although i would not use it for vigorous exercise without checking the adjustment first. outside noise can still intrude in louder places, and i sometimes lower the volume rather than trying to overcome it. battery life has been sufficient for my regular journeys. at home i also use candle vista 704 for radio and quiet background listening. it is not an elaborate audio system, but it performs its intended role with very little fuss. the clear speech, stable connection and manageable size have made it a dependable companion for travel and everyday listening.",True,18,1088,177,False,HORD000004,SKU-CAN00605,on_time,good_value,detailed
HREV000006,HORD000005,HITM0000014,PRD0734,CUS00248,2018-03-18 16:06:00,en,3,"enjoyable casual gaming, with room to improve","i have used the vela ridge 833 in the living room for casual games and shared entertainment. the large display makes local play inviting, and the picture remains pleasant when people are sitting at different angles. menus are generally simple to follow, and launching a game does not require much preparation. on the other hand, switching between an application and a game sometimes takes longer than expected. i have also noticed occasional pauses when several devices are using the household connection, although play resumes without needing a full restart. the built-in sound is adequate for ordinary use, but it lacks the depth i get from separate speakers. family members enjoy the straightforward controls, while more demanding players may notice the limitations sooner. the vela ridge 833 works well as a relaxed shared screen, though it is not a flawless all-purpose entertainment centre.","i have used the vela ridge 833 in the living room for casual games and shared entertainment. the large display makes local play inviting, and the picture remains pleasant when people are sitting at different angles. menus are generally simple to follow, and launching a game does not require much preparation. on the other hand, switching between an application and a game sometimes takes longer than expected. i have also noticed occasional pauses when several devices are using the household connection, although play resumes without needing a full restart. the built-in sound is adequate for ordinary use, but it lacks the depth i get from separate speakers. family members enjoy the straightforward controls, while more demanding players may notice the limitations sooner. the vela ridge 833 works well as a relaxed shared screen, though it is not a flawless all-purpose entertainment centre.",True,48,896,142,False,HORD000005,SKU-VEL00734,on_time,poor_value,detailed
HREV000007,HORD000007,HITM0000021,PRD0701,CUS00065,2018-04-07 17:07:00,en,4,portable and capable for daily work,"the candle orbit 800 has fitted neatly into my routine of document work and video meetings. it starts promptly, handles several open documents without becoming frustrating, and keeps meeting tools available while i refer to notes. carrying it from one room to another is easy, which has helped me change work locations without disrupting the day. the keyboard is comfortable for extended writing, and the camera and microphone have been adequate for ordinary calls. battery life is less generous when i spend much of the day in meetings, so i keep the charger nearby. i also needed time to arrange the software and preferences to my liking. once settled, the candle orbit 800 has been a dependable, pleasant laptop for portable office tasks.","the candle orbit 800 has fitted neatly into my routine of document work and video meetings. it starts promptly, handles several open documents without becoming frustrating, and keeps meeting tools available while i refer to notes. carrying it from one room to another is easy, which has helped me change work locations without disrupting the day. the keyboard is comfortable for extended writing, and the camera and microphone have been adequate for ordinary calls. battery life is less generous when i spend much of the day in meetings, so i keep the charger nearby. i also needed time to arrange the software and preferences to my liking. once settled, the candle orbit 800 has been a dependable, pleasant laptop for portable office tasks.",True,89,741,123,False,HORD000007,SKU-CAN00701,on_time,good_value,detailed
HREV000008,HORD000008,HITM0000022,PRD0815,CUS00443,2018-04-02 18:08:00,en,4,good focus-time audio,"i have used candle edge 914 through many desk-work sessions and found it consistently enjoyable. pairing is quick, music remains detailed at moderate volume, and spoken material is easy to follow while i concentrate. the controls are not very tactile, especially in low light. that small inconvenience aside, it is a dependable and pleasant part of my workspace.","i have used candle edge 914 through many desk-work sessions and found it consistently enjoyable. pairing is quick, music remains detailed at moderate volume, and spoken material is easy to follow while i concentrate. the controls are not very tactile, especially in low light. that small inconvenience aside, it is a dependable and pleasant part of my workspace.",True,70,362,58,False,HORD000008,SKU-CAN00815,on_time,good_value,concise
HREV000009,HORD000009,HITM0000024,PRD0143,CUS00105,2018-07-19 19:09:00,en,4,a pleasant sketching tablet,"i bought the candle orbit 242 for drawing practice and lightweight creative work, and it has fit that role nicely. the screen gives sketches enough space to develop, and handwritten marks feel natural once the angle is adjusted. it opens reference images quickly and lets me move between a drawing app and notes without disrupting the session. the body is light enough to carry from the desk to the sofa, which encourages me to use it more often. very detailed projects eventually feel constrained by the available workspace, and the surface shows fingerprints after a long session, but neither issue has stopped me from enjoying it. it is also useful for reviewing drafts and making quick annotations. for casual illustration and small creative projects, the candle orbit 242 has proved capable, inviting and easy to keep nearby.","i bought the candle orbit 242 for drawing practice and lightweight creative work, and it has fit that role nicely. the screen gives sketches enough space to develop, and handwritten marks feel natural once the angle is adjusted. it opens reference images quickly and lets me move between a drawing app and notes without disrupting the session. the body is light enough to carry from the desk to the sofa, which encourages me to use it more often. very detailed projects eventually feel constrained by the available workspace, and the surface shows fingerprints after a long session, but neither issue has stopped me from enjoying it. it is also useful for reviewing drafts and making quick annotations. for casual illustration and small creative projects, the candle orbit 242 has proved capable, inviting and easy to keep nearby.",True,19,830,137,False,HORD000009,SKU-CAN00143,on_time,good_value,detailed
HREV000010,HORD000009,HITM0000025,PRD0561,CUS00105,2018-08-03 10:10:00,en,1,a disappointing study laptop,"candle quest 660 was bought for study, research, and note taking, and i compared it with an older laptop used for the same assignments. the new machine opens notes and handles a single browser window, but research sessions become sluggish when several sources are open. pages pause, scrolling becomes uneven, and the cursor occasionally stops responding. the older laptop had a smaller display, yet it caused fewer interruptions. for reading, switching references, and taking notes together, candle quest 660 is frustratingly limited. the keyboard is usable for brief entries but tiring during a long lecture. the space bar does not always register at the edges, so sentences need repeated corrections. the trackpad is sensitive in an awkward way, moving the cursor while i am typing and selecting text by mistake. screen reflections make dense articles difficult to read near a window. i can complete a basic document, but the effort involved is excessive for a laptop intended for regular study. battery life has also become a problem. a few hours of note taking and browsing leaves little reserve, and the estimate changes sharply after the lid is reopened. sleep mode sometimes fails, leaving the machine warm inside a bag. restarting clears the issue temporarily but loses the place i had reached. support sent generic troubleshooting steps without resolving the behavior. after 32 days, i have returned to the older computer for research work. candle quest 660 is a weak study machine, and i regret choosing it.","candle quest 660 was bought for study, research, and note taking, and i compared it with an older laptop used for the same assignments. the new machine opens notes and handles a single browser window, but research sessions become sluggish when several sources are open. pages pause, scrolling becomes uneven, and the cursor occasionally stops responding. the older laptop had a smaller display, yet it caused fewer interruptions. for reading, switching references, and taking notes together, candle quest 660 is frustratingly limited. the keyboard is usable for brief entries but tiring during a long lecture. the space bar does not always register at the edges, so sentences need repeated corrections. the trackpad is sensitive in an awkward way, moving the cursor while i am typing and selecting text by mistake. screen reflections make dense articles difficult to read near a window. i can complete a basic document, but the effort involved is excessive for a laptop intended for regular study. battery life has also become a problem. a few hours of note taking and browsing leaves little reserve, and the estimate changes sharply after the lid is reopened. sleep mode sometimes fails, leaving the machine warm inside a bag. restarting clears the issue temporarily but loses the place i had reached. support sent generic troubleshooting steps without resolving the behavior. after 32 days, i have returned to the older computer for research work. candle quest 660 is a weak study machine, and i regret choosing it.",True,16,1517,246,False,HORD000009,SKU-CAN00561,on_time,good_value,comparison
