product_id,product_name,category,brand,unit_price,unit_cost,launch_year,warranty_months,weight_kg,product_sku,subcategory,model_family,colour,supplier_id,supplier_country,launch_date,tax_category,package_type,recyclable_packaging,active_flag,product_description_clean
PRD0001,Candle Bloom 100,Laptop,Candle,2686.14,1498.92,2014,24,1.551,SKU-CAN00001,Ultrabook,Arc,Graphite,SUP001,Australia,2014-06-26,GST_STANDARD,Recycled box,True,True,"ultrabook designed for portable document work and video meetings, in the arc family and supplied by candle with a 24-month warranty."
PRD0002,Vela Halo 101,Smartphone,Vela,1804.26,1165.04,2015,24,0.271,SKU-VEL00002,5G Smartphone,Atlas,Black,SUP002,Korea,2015-05-15,GST_STANDARD,Box,True,True,"5g smartphone designed for daily communication and navigation, in the atlas family and supplied by vela with a 24-month warranty."
PRD0003,Candle Quest 102,Tablet,Candle,857.07,510.69,2012,24,0.632,SKU-CAN00003,Productivity Tablet,Bloom,Black,SUP003,China,2012-09-21,GST_STANDARD,Box,True,True,"productivity tablet designed for reading, annotation and handwritten notes, in the bloom family and supplied by candle with a 24-month warranty."
PRD0004,Vela Wave 103,Home Entertainment,Vela,4084.76,2704.24,2012,24,9.128,SKU-VEL00004,Smart Display,Core,Black,SUP004,Japan,2012-08-14,GST_STANDARD,Box,True,True,"smart display designed for shared film and television viewing, in the core family and supplied by vela with a 24-month warranty."
PRD0005,Candle Edge 104,Audio,Candle,171.8,86.9,2014,12,0.521,SKU-CAN00005,Wireless Audio,Edge,Green,SUP005,Japan,2014-05-19,GST_STANDARD,Box,True,True,"wireless audio designed for commuting and spoken-content listening, in the edge family and supplied by candle with a 12-month warranty."
PRD0006,Vela Nova 105,Smart Home,Vela,520.51,252.74,2017,12,0.388,SKU-VEL00006,Home Automation,Echo,Red,SUP006,Australia,2017-11-13,GST_STANDARD,Recycled box,True,True,"home automation designed for app-controlled room lighting, in the echo family and supplied by vela with a 12-month warranty."
PRD0007,Candle Shift 106,Gaming,Candle,670.94,422.09,2016,24,1.607,SKU-CAN00007,Gaming Hardware,Flux,Graphite,SUP007,Malaysia,2016-01-18,GST_STANDARD,Box,True,False,"gaming hardware designed for long desktop gaming sessions, in the flux family and supplied by candle with a 24-month warranty."
PRD0008,Vela Atlas 107,Wearable,Vela,751.87,414.88,2013,12,0.088,SKU-VEL00008,Health Wearable,Halo,Black,SUP008,Australia,2013-07-23,GST_STANDARD,Protective case,True,True,"health wearable designed for daily activity and sleep tracking, in the halo family and supplied by vela with a 12-month warranty."
PRD0009,Candle Flux 108,Networking,Candle,72.9,45.05,2016,24,0.747,SKU-CAN00009,Connected Network,Lumen,Graphite,SUP009,Japan,2016-10-18,GST_STANDARD,Recycled box,False,True,"connected network designed for home-office wireless coverage, in the lumen family and supplied by candle with a 24-month warranty."
PRD0010,Vela Pulse 109,Accessory,Vela,253.38,132.27,2013,12,0.146,SKU-VEL00010,Mobile Accessory,Nova,Red,SUP010,Malaysia,2013-10-19,GST_STANDARD,Box,False,True,"mobile accessory designed for adjustable desk mounting and device positioning, in the nova family and supplied by vela with a 12-month warranty."
PRD0011,Candle Vista 110,Laptop,Candle,933.48,671.3,2016,24,1.238,SKU-CAN00011,Ultrabook,Orbit,Gold,SUP011,Malaysia,2016-04-03,GST_STANDARD,Box,False,True,"ultrabook designed for study, research and note taking, in the orbit family and supplied by candle with a 24-month warranty."
PRD0012,Vela Core 111,Smartphone,Vela,1136.26,830.67,2014,24,0.23,SKU-VEL00012,5G Smartphone,Pulse,Gold,SUP012,Malaysia,2014-06-22,GST_STANDARD,Protective case,True,True,"5g smartphone designed for mobile photography and messaging, in the pulse family and supplied by vela with a 24-month warranty."
PRD0013,Candle Lumen 112,Tablet,Candle,291.07,156.82,2017,24,0.649,SKU-CAN00013,Productivity Tablet,Quest,White,SUP013,Korea,2017-07-15,GST_STANDARD,Box,True,True,"productivity tablet designed for portable media and video calls, in the quest family and supplied by candle with a 24-month warranty."
PRD0014,Vela Ridge 113,Home Entertainment,Vela,2216.59,1558.07,2016,24,6.216,SKU-VEL00014,Smart Display,Ridge,Silver,SUP014,Vietnam,2016-01-09,GST_STANDARD,Box,True,True,"smart display designed for music and spoken-content playback, in the ridge family and supplied by vela with a 24-month warranty."
PRD0015,Candle Arc 114,Audio,Candle,1188.56,619.51,2012,12,0.433,SKU-CAN00015,Wireless Audio,Shift,Blue,SUP015,Japan,2012-11-01,GST_STANDARD,Protective case,True,True,"wireless audio designed for music during focused desk work, in the shift family and supplied by candle with a 12-month warranty."
PRD0016,Vela Echo 115,Smart Home,Vela,802.46,439.6,2016,12,0.354,SKU-VEL00016,Home Automation,Spark,Red,SUP016,Australia,2016-06-16,GST_STANDARD,Protective case,True,True,"home automation designed for scheduled control of a household power outlet, in the spark family and supplied by vela with a 12-month warranty."
