mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-01,orders,order_id,both,orders[].header.orderID,/OperationsExport/Orders/Order/Header/Order_ID,Trim surrounding whitespace; preserve leading zeros and source case; output as string.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-02,orders,source_system_record_id,both,orders[].header.sourceSystemRecordID,/OperationsExport/Orders/Order/Header/Source_System_Record_ID,Trim surrounding whitespace; preserve leading zeros and source case; output as string.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-03,orders,customer_id,both,orders[].header.customerID,/OperationsExport/Orders/Order/Header/Customer_ID,Trim surrounding whitespace; preserve leading zeros and source case; output as string.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-04,orders,order_timestamp,both,orders[].header.orderTimestamp,/OperationsExport/Orders/Order/Header/Order_Timestamp,Parse the source-specific timestamp representation and format as YYYY-MM-DD HH:MM:SS.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-05,orders,sales_channel,both,orders[].header.salesChannel,/OperationsExport/Orders/Order/Header/Sales_Channel,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-06,orders,payment_method,both,orders[].header.paymentMethod,/OperationsExport/Orders/Order/Header/Payment_Method,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-07,orders,currency,both,orders[].header.currency,/OperationsExport/Orders/Order/Header/Currency,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-08,orders,nearest_warehouse,both,orders[].header.nearestWarehouse,/OperationsExport/Orders/Order/Header/Nearest_Warehouse,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-09,orders,order_status,both,orders[].header.orderStatus,/OperationsExport/Orders/Order/Header/Order_Status,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-10,orders,order_price,derived,orders[].shoppingCart[].quantity | orders[].shoppingCart[].unitPrice | orders[].header.orderPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price | /OperationsExport/Orders/Order/Header/Order_Price,"Calculate each rounded line_revenue from quantity * unit_price, then sum by order_id and round the order_price to two decimal places; use the reported source field only for validation.","Reconcile source inputs by order_id, recompute deterministically from canonical inputs, compare normalised JSON/XML results and any reported source value, and record mismatches in validation.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
