customer_id,signup_date,loyalty_tier,customer_segment,age_band,preferred_channel,home_suburb,prior_12m_orders,lifetime_value_before_period,marketing_consent,home_postcode,home_state,home_country,preferred_language,acquisition_source,account_status,preferred_device,email_domain,household_size_band,contact_frequency_preference
CUS00001,2016-01-23,Silver,Small Business,25-34,Store,Carlton,10,8629.93,True,3053,VIC,Australia,de,Referral,Active,Desktop,mail.test,5+,Weekly
CUS00002,2015-06-09,Bronze,Mainstream,25-34,Mobile,Carlton,9,7424.89,True,3053,VIC,Australia,it,Social,Dormant,Mobile,mail.test,2,Essential only
CUS00003,2017-11-06,Silver,Premium,25-34,Store,Melbourne,8,6452.79,True,3000,VIC,Australia,ar,Social,Active,Mobile,example.net,1,Weekly
CUS00004,2016-07-14,Silver,Small Business,18-24,Mobile,Northcote,7,5617.41,True,3070,VIC,Australia,ru,Organic,Active,Tablet,example.net,3-4,Quarterly
CUS00005,2013-02-13,Gold,Mainstream,45-54,Mobile,Docklands,16,1442.36,False,3008,VIC,Australia,pl,Organic,Active,Mobile,inbox.example,1,Quarterly
CUS00006,2015-10-24,Platinum,Value,55+,Mobile,St Kilda,17,16028.92,True,3182,VIC,Australia,hi,Organic,Active,Desktop,mail.test,5+,Quarterly
CUS00007,2017-06-03,Silver,Mainstream,55+,Store,St Kilda,17,15360.58,False,3182,VIC,Australia,nl,Organic,Active,Tablet,mail.test,2,Quarterly
CUS00008,2013-12-23,Bronze,Premium,25-34,Mobile,Brunswick,4,1478.74,False,3056,VIC,Australia,pt,Paid Search,Active,Tablet,inbox.example,1,Weekly
CUS00009,2015-09-24,Silver,Mainstream,18-24,Web,St Kilda,0,109.73,True,3182,VIC,Australia,de,Store,Dormant,Mobile,example.net,5+,Monthly
CUS00010,2013-03-16,Silver,Value,45-54,Mobile,Southbank,10,2760.25,True,3006,VIC,Australia,ar,Social,Active,Mobile,mail.test,5+,Essential only
CUS00011,2013-08-15,Gold,Premium,35-44,Web,Footscray,5,2375.54,True,3011,VIC,Australia,it,Referral,Active,Desktop,inbox.example,1,Monthly
CUS00012,2015-11-12,Bronze,Value,45-54,Web,Hawthorn,9,1312.54,False,3122,VIC,Australia,nl,Referral,Active,Mobile,example.net,5+,Quarterly
CUS00013,2016-03-01,Silver,Premium,25-34,Store,Footscray,3,2095.27,False,3011,VIC,Australia,de,Store,Active,Mobile,mail.test,3-4,Essential only
CUS00014,2013-03-09,Bronze,Premium,55+,Store,St Kilda,17,13471.3,False,3182,VIC,Australia,nl,Paid Search,Active,Desktop,mail.test,1,Monthly
